Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
Vitória: por uma intervenção,2011,"Corrêa, Ludmila Campo
Dall'orto","Esteves Junior,
Milton","Gaia,
Gabriela Leandro",Projeto de urbanismo no centro de vitória,Projeto de urbanismo,Projeto/ urbanismo/ centro,Centro de Vitória
"Mobilidades
Contemporâneas : uma
investigação acerca dos
movimentos da cidade",2005,"Correa, Suzane Moulié.","Miranda, Clara Luiza","Frizzera,
Kléber.",analise de mobilidade de vitória,História e Teoria da Arquitetura e Urbanismo,Análise/ mobilidade,Vitória
"A qualidade arquitetônica
nos projetos residenciais",2016,"Correia, Leilani Gomes","Laranja, Andréa Coelho",,análise de conforto ambientar de edificações multifamiliares em vitória,Conforto Ambiental,Análise/ conforto ambiental/ residência,Vitória
"A grande avenida: uma
proposta de reforma para a
Avenida Dário Lourenço de
Saouza - 'Sambão Do Povo
-e seu entorno",2018,"Cosmi, Larissa de Souza","Romanelli, Marco Antonio
Cypreste","Frizzera, Kleber Perini",Projeto de intervenção urbana Sambão do Povo,Projeto de urbanismo,Projeto/ intervenção/ urbano/ samba,Mário Cypreste 
Centro cultural em Castelo,2000,"Cossati, Rodrigo Schiavino","Freitas, José Francisco
Bernadino",,Projeto de centro cultura el castelo,projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura,Castelo
"Complexo multimodal de
fluxos e atividades :
ensaios propositivos para a
qualificação de ambiências
cotidianas",2011,"Costa, Caroline Vallandro","Esteves Junior, Milton",,,,,
"Viva Vila Velha :
""acumpuntura urbana"" no
istimo de Vila Velha- uma
nova orla para um novo
modo de vida.",2005,"Costa, Fábio Fundão
Pacheco da","Barbosa,
Eduardo.","Abe,
André Tomoiuke.", Projeto urbano para nova orla em vila velha ,Projeto de urbanismo,requalificação/ urbanismo/ orla/ praia,Vila Velha 
Escola de Arquitetura.,2003,"Costa, Fabrício Reis","Barbosa, Eduardo Simões",,"Reflexões, análise, critica, reconhecimento, homenagem e argumentação da escola de arquitetura",História e Teoria da Arquitetura e Urbanismo,Reflexões/ análise/ crítica/ escola de arquitetura,n/d
"Praça da Cruz do Papa: De
espaço a lugar",2002,"Costa, Flávia Gomes da","Vargas, Paulo Sérgio da
Paula","Alvarez,
Cristina Engel de",Projeto de uma praça na enseada do sua,projeto de paisagismo,Projeto/ paisagismo/ Praça,Enseada do Suá
"Intervenções urbanas :
proposta de urbanização da
orla de Santa Cruz",2011,"Costa, Larissa Franco da","Abe, Andre Tomoyuki",,Proposta de intervenção da orla de Santa Cruz. Aracruz,projeto de urbanismo ,requalificação/ urbanismo/ orla/ rio,Santa Cruz
"[AR]COM : modelo
funcional de arquitetura
responsiva.",2017,"Costa, Lucas Martinez da.","Martino, Jarryer Andrade
de.",,Desenvolvimento de um objeto tecnológico chamado arquitetura responsiva  computacional para media a qualidade do ar em vitória,Informática aplicada a arquitetura,Desenvolvimento/ Programa computacional/ qualidade do ar/ ,Vitória
"Trilhos da cidade : estudo
projetual de transporte
coletivo para a Reta da
Penha.",2007,"Costa, Luciana Franco da","Abe, Andre Tomoyuki",,Projeto de mobilidade urbana. Projeto na Reta da Penha,Projeto de urbanismo,Projeto/ urbanismo/ mobilidade,Santa Lúcia (Reta da Penha)
"Habitação popular:
condomínio Jardim Laguna",2014,"Costa, Mayara Engelhardt","Alvarenga, Augusto","Rocha,
Ricardo de Souza",Projeto de um condomínio popular de apartamentos em Jardim Laguna Linhares ES. 4 Pavimentos Conforto ambiental,Projeto de arquitetura,Projeto/ Condomínio/ popular/ conforto ambiental,Jardim Laguna
"Centro de educação e
cultura. intervenção em sítio
histórico - Governador
Valadares/MG .",2013,"Costa, Naiene Cardoso","Almeida, Renata Hermanny
de","Frizzera,
Kleber Perini","Centro de educação e
cultura. intervenção em sítio
histórico - Governador
Valadares/MG . Projeto de restauro e nova inserção formal do edifício residencial",Técnicas retrospectivas,Restauro/ Intervenção/ centro de (núcleo de)/ cultura,Governador Valadares
"Museu de arte
contemporânea de Vitória",2005,"Costa, Raquel Aoni.","Porto,
Nelson.",,Museu de arte conteporânea no américo buaiz,Projeto de arquitetura,Projeto/ museu/ Arte,Enseada do Suá
"Centro de ensino e
pesquisa: avaliação de
desempenho térmico.",2017,"Costalonga, Filipe Galina","Rodrigues, Edna Aparecida Nico.",,Proposta de projeto de um centro de ensino e pesquisa no departamento de AU da ufes e avaliação de desempenho termico,Projeto de arquitetura,Projeto/ desempenho térmico/ Centro de (núcleo de)/ ensino e pesquisa,UFES Goiabeiras
"Percepções e
possibilidades : ensaios de
intervenções urbanas no
canal de Camburi.",2009,"Costalonga, Letícia Lovatti","Almenara, Rogério",,Projeto estudo de massa canal de camburi. Ligação água e terra,Projeto de urbanismo,Ensaio projetual/ orla/ canal de Camburi/ urbanismo,Vitória
"Centro de Ensino Infantil
Castelo : a sustentabilidade
na arquitetura escolar.",2015,"Cotta, Julia Imperial","Alvarez, Cristina Engel de",,Projeto de centro infantil em castelo. Sustentabilidade.,Projeto de arquitetura,Projeto/ escola/ sustentabilidade,Castelo
"Estação científica em
Fernando de Noronha",2014,"Coutinho, Amanda Ferreira","Alvarez, Cristina Engel de,
Dias,","Bernardo
Zandomenico,",Estação científica do arquipelago de fernando de noronha. Sistema construtivo modular e prefabricado em madeira plástica,Tecnologia das construções,Sistema construtivo/ modular/ madeira plástica/ estação científica,Fernando de Noronha
"Arquitetura e urbanismo
sustentável aplicado ao
projeto de um campus
universitário.",2007,"Couto, Felipe José","Almenara Ribeiro,
Rogério.","Simões Barbosa, Eduardo",Campi universitário sustentável na Barra do Jucu,Projeto de urbanismo,Campi universitário/ sustentabilidade,Barra do Jucu
"Reforma e Ampliação
Hospital São Braz Itarana -
ES",2017,"Covre, Thaynan
Bergamaschi","Frizzera,
kleber Perini",,"Projeto, reforma e ampliação arq hospitalar humanitária - Itarana",Técnicas retrospectivas,Restauro/ intervenção/ hospital,Itarana 
Oceanário de Niteroi: Uma nova proposta de lazer no caminho Niemeyer ,2010,"Cravo, Layla Maira de Oliveira","Romaneli, Marco ","Vargas, Paulo ",Ante projeto oceanário Niteroi,Projeto de arquitetura,Projeto/ oceanário,Niterói
"Planejamento territorial em
área litôranea: Um estudo
de caso em Urssuquara",2002,"Cruz, Daniel Oliveira","Abe,
André Tomoyuki","Alvarez,
Cristina Engel de",Estudo e planejamento de área litorânea linhares e são mateus. Planejamento territorial e conservação ambiental,Planejamento Urbano e regional,Planejamento territorial/ sustentabilidade/ orla,Linhares e São Mateus
"Pela valorização e
preservação da paisagem
de Vila Velha: ensaios
sobre a baía",2002,"Cruz, Patricia Stelzer da","Motta, Ione Marroquim","Abe, André
Tomoyuki",Intervenção baia de vila velha. Percepção das pessoas. Projeto urbano,Projeto de urbanismo,Ensaio projetual/ orla/ baía/ percepção,Vila Velha 
"Territórios da mobilidade
urbana na metrópole
portuária da Grande Vitória
(ES) : escalas,velocidades
e conflitos.",2010,"Cruz, Patricia Stelzer da","Campos, Martha Machado",,Estudo empirico/histórico das relações de mobilidade urbana na grande vitória,História e Teoria da Arquitetura e Urbanismo,Estudo/ análise/ história/ mobilidade,Grande Vitória
"Transporte público na
grande Vitória",2011,"Cunha Filho, Ezequias
Moreira","Rodrigues, Edna
Aparecida Nico",,Projeto de mobilidade urbana na Grande Vitória,Projeto de urbanismo,Projeto/ Mobilidade,Grande Vitória
"Cidade alta: uma viagem no
tempo.",2000,"Curbani, Sáira Glazar","Miranda, Clara Luiza",,Levantamento histórico e arquitetonico da Cidade Alta,História e Teoria da Arquitetura e Urbanismo,Levantamento/ história/ Cidade alta,Centro de Vitória
"Arquitetura e tecnologia se
integram em um complexo
multifuncional",2000,"D'avila, Danielle","Maroquim, Ione",,Edificio comercial inteligente,Projeto de arquitetura,Itapuã/ Vila Velha,n/d
"Iluminação natural:
Proposta de retrofit em uma creche",2013,"Dadalto, Cintia Bragatto",Andréa Laranja,"Alvarez,Cristina Engel de ",Projeto Refrofit para creche Jeito de Ser - Bento Ferreira,Projeto de arquitetura,Projeto/ retrofit/ creche/ iluminação natural/ escola,Bento Ferreira
"Desenho Universal : uma
proposta de múltiplo uso.",2005,"Dadalto, Flávia Tannure","Esteves Júnior, Milton","Penteado,
Homero Marconi.",,,,
"Reflexões sobre arquitetura,
cidade e comportamento",2004,"Dadalto, Juliana Caliman","Alvarez, Cristina Engel de.",,Reflexões e analise da cidade sob o ponto de vista sustentavel,História e Teoria da Arquitetura e Urbanismo,Reflexões/ sustentabilidade/ Cidade,n/d
"RTQ-C: discussão da
etiqueta de eficiência
energética no projeto de
arquitetura",2011,"Dal'orto, Kissia Coutinho
Campo","Romanelli, Marco
Antonio Cypreste","Alvarenga,
Augusto",,,,
"Reabilitação de edifícios
ociosos para habitação de
interesse social",2014,"Dalvi, Natália Morelato","Frizzera, Kleber Perini","Simões,
Roberto Garcia","
Projeto de reabilitação de edifícios
ociosos para habitação de
interesse social",Projeto de arquitetura,Projeto/ Interesse social/ Retrofit,Vitória
"Centro de convivência e
socialização do idoso.",2017,"Dalvi, Sabrina Dalbó","Costa, Aline Nogueira da.",,"Centro de convivência e
socialização do idoso em conceição do castelo",Projeto de arquitetura,Projeto/ Centro de convivência/ idoso,Conceição do Castelo
"Convexpo Vila Velha:
convenções - exposições",2011,"Damascena, Lais Vieira","Almenara, Rogério",,Projeto de centro de Exposições em Vila Velha,Projeto de arquitetura,Projeto/ Centro de  (núcleo de)/ exposições,Vila Velha
"Dialética entre fluxos e
fixos: reflexões sobre uma
nova urbanidade",2011,"Damiani, Giovanna Gabriel","Abe, André Tomoyuki","Vargas, Paulo
Sérgio de Paula",Análise e proj urbano na Serra,Projeto de urbanismo,Análise/ Projeto/ Urbanismo,Serra
"Parque lagunar de
Linhares: reutilização das
margens da Lagoa do Meio,
um novo pensar sobre as
lagoas de Linhares - ES",2003,"Damiani, Rodrigo Souza","Frizzera, Kleber",,Estudo e proposta de revitalização do entorno da Lagoa do Meio - Linhares,projeto de urbanismo,Revitalização/ orla/ lagoa,Lagoa do meio
"Coordenação de projetos :
o papel do arquiteto.",2005,"Dardengo, Carina Altoé","Alvarenga, Augusto",,Metodologia para Coordenação de projetos,História e Teoria da Arquitetura e Urbanismo,Metodologia/ Gerenciamento de projetos e obras,n/d
"Revenda de automóveis:
breve estudo de arquitetura
comercial. /",2002,"Dariva, Lílie Martetto","Marroquim, Ione","Alvarenga,
Augusto",Projeto de local de revenda de automóveis,Projeto de arquitetura,Projeto/ Revenda de automóveis ,n/d
"Centro de convenções e
exposições",2009,"Dassie, Kamila Crespo","Almenara, Rogério",,Projeto de centro de convenções e exposições no Aeroporto ,Projeto de arquitetura,Projeto/ Centro de  (núcleo de)/ exposições,Aeroporto
"De frente para o mar: um
novo waterfront para Vitória",2008,"Davel, Ricardo Couto","Vargas, Paulo Sergio de
Paula",,Plano urbano para Ilha de Santa Maria - Waterfront,Projeto de urbanismo,Requalificação/ orla/ baía,Ilha de Santa Maria
"Casa digital: tecnologias &
qualidade de vida",2008,"Deboni, Mariana Loureiro","Alvarez, Cristina Engel",,Projeto residencial de casa utilizando automação e tecnologia em São José dos Campos/SP,Projeto de arquitetura,Projeto/ automação/ tecnologia/ residência,São José dos Campos
"A aplicabilidade do SIG
como ferramenta auxiliar
nos estudos urbanos",2016,"Depolli, Emanuelle
Trevizani.","Costa, Aline
Nogueira.",,A aplicabilidade do SIG como ferramenta auxiliar nos estudos urbanos,informática aplicada a arquitetura,Aplicabilidade/ SIG/ Urbanismo,n/d
Uma passarela para a UFES: O mobiliário urbano como forma de resgate da ligação campus-cidade,2013,"Delarmelina, Suellen Mauro","Rocha, Ricardo de Souza","Esteves Junior, Milton",Estudos e aplicação da madeira com projeto de ligação e praça JP e UFES,Tecnologia das construções,Projeto/ madeira/ passarela,Jardim da Penha
Odeon : sala de concertos,2007,"Destefani, Liane Becacici
Gozze","Vargas, Paulo
Sérgio de Paula",,Projeto de sala de Concertos em Bento Ferreira,Projeto de arquitetura,Projeto/ Sala de concertos ,Bento Ferreira
"A linguagem das cores : a
percepção infantil do
universo colorido",2004,"Dettogni, Renata Spinassé","André, Abe T",,Analise e proposta de escola com base nas cores,Projeto de arquitetura,Análise/ cor/ Projeto/ escola,n/d
"Seleção de materiais mais
sustentáveis : aplicação no
edifício do núcleo de
estudos multidisciplinares
do Centro de Artes da Ufes",2012,"Dias, Bernardo
Zandomenico","Alvarez,
Cristina Engel,",,Projeto de centro de estudos na UFES com arquitetura sustentável,Projeto de arquitetura,Projeto/ sustentabilidade/ centro de  (núcleo de)/ ensino e pesquisa,UFES Goiabeiras
"Técnica da criação: BIM
aplicado à arquitetura
contemporânea",2015,"Dias, Clara Nahas |","Alvarenga, Augusto","Vargas, Paulo
Sérgio de Paula",manual de BIM com aplicação em um projeto,informática aplicada a arquitetura,BIM/ Manual,n/d
"(RE) pensar o não-lugar :
projeto de regeneração
urbana do baixio e entorno
da ponte da passagem.",2016,"Dias, Maiara","Caser, Karla
do Carmo",,Regeneração do espaço não construído,Projeto de paisagismo,Regeneração/ espaço/ orla,Canal da passagem
"Open Mall uma nova
configuração de um espaço
comercial em Vila Velha",2010,"Dias, Marcela Loyola","Vargas, Paulo Sérgio de
Paula","Fernandes, Fernanda",Projeto de shopping aberto em Vila Velha,Projeto de arquitetura,Projeto/ shopping aberto,Vila Velha
"Desenvolvimento e
preservação patrimonial:
subsídios urbanísticos para
o plano diretor da sede
municipal de Santa
Leopoldina (ES)",2016,"Dias, Natália Selestrini","Almeida, Renata Hermanny
de",,"Desenvolvimento e
preservação patrimonial:
subsídios urbanísticos para
o plano diretor da sede
municipal de Santa
Leopoldina (ES)",Planejamento Urbano e Regional,Preservação/ Patrimônio/ pdu,Santa Leopoldina
"Uma agência bancária na
era da informação",2009,"Dieter, Thomas Felipe","Vargas, Paulo Sérgio de
Paula","Bruno,
Massara",Projeto de agência bancária utilizando novas tecnologias,Projeto de arquitetura,Projeto/ agência Bancária/ Tecnologia,n/d
"Você praça acho graça :
uma proposta de
equalificação para a praça
Dr. Demócrito Freitas",2015,"Dini, Camila Lacerda
Martins","Esteves Júnior,
Milton",,Requalificação de praça,Projeto de paisagismo,Requalificação/ praça,Praia do Suá (Praça Dr. Demócrito Freitas)
"Mobilidade urbana na
Grande Vitória : proposta de
um novo conceito de
transporte coletivo para a
região metropolitana",2006,"Donô, Milena Paraiso","Miranda, Clara Luiza.",,Projeto urbano de mobilidade para a Grande Vitória,Projeto de urbanismo,Projeto/ mobilidade,grande vitória 
"Manual de identificação de
manifestação patológica em
edíficio histórico :
experimento no Espírito
Santo.",2014,"Dornelas, Angélica Maria
Fonseca.","Almeida, Renata
Hermany de",,"Manual de identificação de
manifestação patológica em
edíficio histórico :
experimento no Espírito
Santo.",Técnicas retrospectivas,Manual/ identificação/ Patologia,Espírito Santo 
"Convivência de épocas :
integração de um museu de
arte sacra á capela Santa
Luzia.",2004,"Drumond, Andréia.","Alvarenga, Augusto.",,Projeto de museu de arte Sacra no Centro,Projeto de arquitetura,Projeto/ museu/ arte sacra,Centro de Vitória
"Para morar e viver na UFES
: projeto de moradia
estudantil",2006,"Duarte, Mariana Chaves","Almenara, Rogério",,Projeto de moradia estudantil no campus de Goiabeiras,Projeto de arquitetura,Projeto/ moradia estudantil,UFES Goiabeiras
"Flexibilidade na Arquitetura
: um estudo aplicado em
edifícios residenciais",2017,"Effgen, Cecília Antunes","Laranja, Andréa Coelho",,Projeto residencial de edifício flexível,Projeto de arquitetura,Projeto/ residência/ edifício/ flexibilidade,n/d
Entre : latinoamérica,2015,"Effgen, Jaqueline de Paula","Esteves Júnior, Milton","Campos,
Martha Machado",Dialogo sobre a produção arquitetônica latinoamericano,História e Teoria da Arquitetura e Urbanismo,Análise/ ensaio/ latinoamericano/ arquitetura,Continente latinoamericano 
"Complexo forte São João:
Transversalidade geohistórica na curva do saldanha, Vitória - ES
",2017,"Elias, Lorena de Castro","Almeida, Renata Hermanny de ",,Intervenção e proj. patri. forte de são joão e sede clube saldanha,Técnicas retrospectivas,Restauro/ intervenção/ Forte/ mobilidade,Forte de São João
"Contain a Room: adaptação
de container para uso em
hospedagem de baixo
custo.",2015,"Eller, Mariana","Frizzera,
Kleber",,"Adaptação
de container para uso em
hospedagem de baixo
custo, aplicado no Centro",Projeto de arquitetura,Projeto/ container/ hotel ,Centro de Vitória
Parque cultural Prainha,2013,"Encarnação, Gisele Marvila","Penteado, Homero","Marconi, Fiorotti, Marcelo
Seidel",Projeto de parque na Prainha,Projeto de paisagismo,Projeto/ Parque,Prainha
Pedreira Parque,2008,"Espindula, Lidiane","Penteado, Homero M.","Vargas, Paulo
Sérgio de P.",,,,
"Atualização da Cidade
Velha.",2009,"Estudo e proposta de atualização para a cidade velha""","Almeida, Renata Hermanny
de",,"Estudo e proposta de atualização para ""cidade velha"". Propostas pontuais para o centro de vitória",Projeto de urbanismo,Projeto/ intervenções pontuais/ urbanismo,Centro de Vitória
"Arquitetura e Música :
requalificação da Avenida
Jerusalém, Cariacica - es.",2017,"Fabres, Raysa Caliari","Patek, Maria Madalena dos
Santos",,Projeto de rua atraves de conceito da música,Projeto de urbanismo,Projeto/ Requalificação/ Rua/ música,Campo Grande
"Proposta de um parque
urbano para a cidade de
Teixeira de Freitas - BA",2011,"Faé, Bruna Pessin","Mendonça, Eneida Maria
Souza","Caser, Karla do
Carmo",Projeto de parque para Teixeira de Freitas - BA,Projeto de paisagismo,Projeto/ Parque,Teixeira de Freitas
"Oceanário Vitória :
aproximando mar e ilha",2013,"Falqueto, Julia Ferolla","Vargas, Paulo Sérgio de
Paula",,Projeto oceanário vix,Projeto de arquitetura,Projeto/ Oceanário/ mar,Mar
"Quando o sol e o vento são
premissas do projeto :
proposta de condomínio
residencial baseado nos
conceitos bioclimáticos",2008,"Fanticele, Fernando
Boechat","Alvarez, Cristina
Angel de",,Analise e proposta de projeto residencial com arquitetura bioclimática,Conforto ambiental,Projeto/ conforto ambiental/ Condomínio/ residência,n/d
"Projeto de reabilitação da
fazenda Ubás : João Neiva
- ES",2015,"Fardin, Luisa Helena Marim","Almeida, Renata
Hermanny de","Penteado, Homero Marconi",Projeto de reabilitação para fazenda Ubás,Técnicas Retrospectivas,Projeto/ restauro/ requalificação,João Neiva 
Arquitetando a folia,2017,"Faria, Fernando Bastos","Romanelli, Marco Antônio
Cypreste","Almeida, Lutero Proscholdt",projeto de sitio cultural com edificações voltado para o  samba  em Vitória,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ samba,Mário Cypreste
"As ruas tem alma: Arte e
vida para a rua Sete de
Setembro",2010,"Faria, Luciana Duarte","Miranda, Clara Luíza",,Proposta de intervenção artística para a rua Sete de Setembro no Centro,Projeto de paisagismo,intervenção/ arte/ rua,Centro de Vitória
"Centro de educação
ambiental Ilha das Caieiras
e requalificação urbana do
entorno",2008,"Farias, Fernanda Sales","Vargas, Paulo Sérgio de
Paula","Bissoli,
Márcia","Centro de educação
ambiental Ilha das Caieiras
e requalificação urbana do
entorno",Projeto de arquitetura,Projeto/ Centro de (núcleo de)/ educação ambiental/ requalificação,Ilha das Caieiras
"Colatina entre o antigo e o
novo uma proposta de
crescimento e
reestruturação urbana",2012,"Fassina, Sirana Palassi","Romanelli, Marco Antonio
Cypreste","Abe,
André Tomoyuki",Projeto de intervenção Urbana em Colatina,Projeto de urbanismo,Projeto/ reestruturação/ urbanismo,Centro de Colatina
"Apontamentos sobre a
concepção se projeto em
arquitetura",2011,"Fazolo, Mirela","Vargas,
Paulo Sérgio de Paula","Miranda, Clara
Luíza",Sistematizar o pensamento para fazer um projeto de arquitetura,História e Teoria da Arquitetura e Urbanismo,Metodologia/ projeto de arquitetura/ concepção,n/d
Um parque para a cidade,2002,"Felippe, Danielle Pretti","Alvarez, Cristina Engel de","Erler, Ana
Márcia",Parque colatina Rio doce,Projeto de paisagismo,Projeto/ parque/ rio,Colatina (Rio Doce)
"Proposta de complexo
multifuncional no eixo do
deslocamento:
Desenvolvimento da cidade
de Vila Velha em direção ao
novo centro",2014,"Fernandes Filho, Francisco
Assis","Romanelli, Marco
Antônio C.","Santos, Maria Madalena",Projeto de Edifício comercial - Itapuã,Projeto de arquitetura,Projeto/ complexo multifuncional/ Edifício,Itapuã
"De ceasa a centro
agroindustrial",2003,"Fernandes, Andréia","Bahia, Tarcísio",,Projeto de requalificação e ampliação do CEASA,Projeto de arquitetura,Projeto/ requalificação/ Ceasa/ agrícola,Vila Capixaba
do ponto ao traço e do traço a [escultura] da cidade do projeto,2012,"Fernandes, João Machado Bueno","Miranda, Clara Luiza",,Analise e proposta de metodologia de analise urbana. Estética como foco,História e Teoria da Arquitetura e Urbanismo,Análise/ metodologia/ urbanismo,n/d
"Arquitetura : música para os
olhos.",2005,"Ferrão, Ariane Louzada
Sasso.","Mendonça, Eneida
Maria Souza.",,Analise da arquitetura por meio da musica com proposta projetual,Projeto de arquitetura,Análise/ proposta projetual/ música,n/d
Espaço de apoio à arte e cultura de Colatina,2013,"Ferrari, Ana Carolina ",Tarcísio Bahia de,"Porto, Nelson ",projeto centro colatina,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ cultura/ arte,Centro de Colatina
"O projeto arquitetônico
como disciplina
experimental.",2015,"Ferreira, Agnes Leite
Thompson Dantas.","Esteves Junior, Milton",,Projeto de escola ,Projeto de arquitetura,Projeto/ escola,n/d
"Lixo colaborativo contatos
afetivos com resíduos
urbanos no território da
Grande Vitória",2015,"Ferreira, Ana Paula
Damasio Martins","Miranda,
Clara Luiza",,Rede de colaboração para melhor uso do lixo,História e Teoria da Arquitetura e Urbanismo,Rede de contatos/ lixo/ sustentabilidade,Grande Vitória
"Arquitetura Esportiva e
Social : estudos e propostas
de um projeto de
revitalização de área
urbana para um centro
municipal de atletas da
Grande Goiabeiras",2006,"Ferreira, Clóvis Gomes","Barbosa, Eduardo Simões","Abe, André
Tomoyuki",Projeto de centro de formação de atletas para Goiabeiras,Projeto de arquitetura,Projeto/ Centro de  (núcleo de)/ formação de atletas/ esporte/ revitalização/ urbano,Goiabeiras
"Gestão estratégicas de
localidades: diretrizes
gerais para o plano de
desenvolvimento",2001,"Ferreira, Giovanilton André
Carretta.","Mendonça,
Eneida Maria","Abe, André Tomoyuki",Plano de desenvolvimento de Praia Grande,Planejamento urbano e regional,Planejamento/ desenvolvimento/ urbanismo,Praia Grande
"Ocupar para sustentar:
centro das artes uma
proposta para reabilitação
da pedreira do rio doce",2003,"Ferreira, Gislaine Zanon","Abe, André Tomyuki",,Projeto de parque na Pedreira Joana D'Arc,Projeto de paisagismo,Projeto/ parque,Resistência (Pedreira Joana D'Arc)
"Desempenho térmico
proposta de retrofit em
escola",2016,"Ferreira, Nathália Simonetti","Laranja, Andrea Coelho",,"Desempenho térmico
proposta de retrofit na
escola Montero Lobato",Projeto de arquitetura,Desempenho Térmico/ escola/ retrofit,Enseada do Suá
"Saúde e arquitetura
maternidade de Itanhém -
BA.",2017,"Ferreira, Stephania de
Souza","Ribeiro, Rogerio
Almenara.",,Projeto de maternidade em Itanhém - projeto que segue conceito de humanizado ,Projeto de arquitetura,Projeto/ Hospital/ Maternidade,Itanhém
"Projeto de intervenção em
Patrimônio Arquitetônico:
prefeitura municipal de
Santa Leopoldina/ES",2013,"Ferreira, Vanessa Heintze","Almeida, Renata Hermanny
de","Silva,
Jaqueline Pugnal da","Projeto de intervenção em
Patrimônio Arquitetônico:
prefeitura municipal de
Santa Leopoldina/ES Projeto Patrimonio",Técnicas Retrospectivas,Projeto/ intervenção/ restauro/ arquitetura,Santa Leopoldina
"Ocupar e Adensar a Cidade
: uma proposta urbana na
Enseada do Suá Vitória -
ES.",2017,"Ferres, Soyana Corrêa","Frizzera, Kleber Perini",,Requalificação enseada,Projeto de urbanismo,Projeto/ Requalificação/ urbanismo,Enseada do Suá
"Iluminação no ambiente
urbano: valorização da
paisagem da Avenida
Jerônimo Monteiro.",2008,"Ferri, Beatriz Sylvan","Campos, Martha Machado",,Projeto luminotécnico para a Avenida Jerônimo Monteiro,Conforto ambiental,Projeto Luminotécnico/ rua,Centro de Vitória
"Do ""esqueleto"" do edifício
palermo a um centro de
entretenimento
verticalizado: proposta de
transformação para um
vizinho indesejado!",2016,"Fialho, Aline Marques.","Rodrigues, Edna Aparecida
Nico.",,Requalificação de edifício no bairro bento ferreira,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ ensino e pesquisa/ materiais/ madeira,Bento Ferreira
"Uma concepção
bioclimática da arquitetura.",2015,"Fialho, Jean Marcelo de
Alencar.","Almenara,
Rogério",,Projeto de edificio residencial com arquitetura bioclimática,Conforto ambiental,Projeto/ Edifício/ residência/ Bioclimático,n/d
"Centro empresarial
tecnoporto",2001,"Figueiredo, Ivana Almeida
de","Alvarez, Cristina Engel",,Projeto de edificio,Projeto de arquitetura,Projeto/ centro empresarial/ tecnologia,n/d
"Vix hub : edifício comercial
para indústria criativa",2017,"Figueiredo, João Vitor
Erlacher","Alvarenga,
Augusto",,Projeto de edifício comercial no Parque tecnológico de Vitória,Projeto de arquitetura,Projeto/ edifício/ comercial,Goiabeiras (Parque tecnológico)
"O papel dos espaços
públicos urbanos na
contemporaneidade :
estudo de caso na Ilha de
Vitória.",2010,"Figueiredo, Márcia Câmara
Bandeira de","Almeida,
Renata Hermanny de",,Analise dos espaços urbanos na cidade de Vitória,História e Teoria da Arquitetura e Urbanismo,Análise/ espaço/ urbano,Vitória
"Centro da cidade e do
cidadão: A casa do cidadão
no centro de Vitória/ES",2001,"Filho, Paulo Roberto Laiber","Almenara, Rogério",,Projeto de casa do cidadão no Centro ,Projeto de arquitetura,Projeto/ Casa do cidadão,Centro de Vitória
"Relação cidade-porto na
contemporaneidade : o
caso de Vitória",2012,"Fim, Minieli","Almeida,
Renata Hermanny de",,Analise de partes da cidade de vitória e sua relação com o porto ,História e Teoria da Arquitetura e Urbanismo,Análise/ cidade/ porto,Vitória
Hotel de lazer,2002,"Fiorotti, Alexandre","Bahia,
Tarcísio","Marroquim, Ione",Projeto de hotel em Marechal Floriano,Projeto de arquitetura,Projeto/ Hotel,Marechal Floriano
"Um novo olhar para o
mangue: Requalificação
urbana na orla de Maria
Ortiz",2016,"Firmino, Erika Lorena","Garcia, Roberto Simões",,Requalificação urbana orla de maria ortiz,Projeto de urbanismo,Requalificação/ rio/ orla,Maria Ortiz
"O espaço da habitação
popular",2008,"Fogos, Hebert Silva","Abe,
André Tomouyki",,Análise de habitação popular com proposta projetual,Projeto de arquitetura,Análise/ habitação popular/ projeto,n/d
"Centro Comercial da
Várzea na Ilha de Santiago
- Cabo Verde.",2015,"Fonseca, Kleidis Jorge
Ramos dos Santos","Alvarenga, Augusto,",,Projeto de centro comercial em Cabo Verde,Projeto de arquitetura,Projeto/ centro de (núcleo de)/ comércio,Ilha de Santiago
"O processo de projeto em
transição uma análise da
aplicação do projeto
simultâneo nos escritórios
de arquitetura de pequeno
porte.",2016,"Formentini, Maria Luisa","Simões, Roberto Garcia","Frizzera,
Kleber Perini","aplicação do projeto
simultâneo nos escritórios
de arquitetura de pequeno
porte.",História e Teoria da Arquitetura e Urbanismo,Análise/ projeto silmultâneo/ escritório/ metodologia,n/d
"A ferramenta SBTOOL
como base conceitual para
retrofit.",2015,"Fornaciari, Rhaina","Alvarez, Cristina Engel de,",,Analise e prosposta proj sustentável usando a ferrementa sbtool,informática aplicada a arquitetura,Análise/ sustentabilidade/ SBTOOL/ retrofit/ proposta projetual,n/d
