Titulo,Ano da publicação,Nome do estudante,Orientador,co-orientador,Descrição empírica dos PGs,definição DNC,TAGS,LUGAR
"A ação do IPHAN no
processo de restauração da
Igreja Reis Magos, em
Nova Almeida, ES",2010,"Mota, Fernanda Teixeira","Miranda, Clara Luiza","Salvalaio,
Renata Cerqueira do
Nascimento","A ação do IPHAN no
processo de restauração da
Igreja Reis Magos, em
Nova Almeida, ES",História e Teoria da Arquitetura e Urbanismo,Análise/ IPHAN/ restauro/ igreja/ patrimônio,Nova Almeida
"Nova Sede da Associação
Capixaba de Idosos",2003,"Motta, Larissa Misságia","Marroquim, Ione","Almenara,
Rogério","Anteprojeto arquitetônico de uma nova sede para a associação capixaba de idosos na Ilha de Santa Maria
",Projeto de arquitetura,Projeto/ museu/ arte/ sacra,Ilha de Santa Maria
"Cidade, corpo e arquitetura
errar e criar espaço público
no contemporâneo",2018,"Moura, Gabriela Pinto de","Miranda, Clara Luiza","Frizzera,
Kleber Perini",Investigação das relações entre o espaço publico de vitória e seus usuários,História e Teoria da Arquitetura e Urbanismo,Ensaio/ espaço/ urbano,Vitória
Projeção sobre Vitória.,2000,"Moura, Walmur.","Vargas,
Paulo Sérgio de Paula.",,Teoria urbanistica com propostas pontuais para a cidade de Vitória,projeto de urbanismo,Análise/ urbanismo/ intervenções pontuais,Vitória
"Expansão urbana em
kinshasa: método de
reajuste e reparação
fundiário para o
redesenvolvimento das
cidades sensíveis à água",2017,"Mpeliang, Christian Bidir.","Romanelli, Marco Antônio",,Redesenvolvimento urbano em cidades sensiveis a água. Estudo e Projeto,Projeto de urbanismo,Projeto/ urbano/ orla,Kinshasa
Creche Enseada do Suá.,2015,"Mufumba, Priscila.","Andrade, Tarcísio Bahia de",,Creche na enseada do sua,Projeto de arquitetura,Projeto/ creche/ escola,Enseada Do Suá
"Marketing urbano: a
influência da imagem no
crescimento das cidades",2007,"Muniz, Brunella Scardua","Vargas, Paulo Sérgio de
Paula",,A influencia da imagem no crescimento das cidades,História e Teoria da Arquitetura e Urbanismo,Análise/ publicidade/ paisagem/ urbano,n/d
"Madeira, sustentabilidade e
tecnologia : proposta de um
centro experimental e de
estudos da madeira para a
Ufes",2006,"Muniz, Janaína Gerde","Vargas, Paulo",,"Madeira, sustentabilidade e
tecnologia : proposta de um
centro experimental e de
estudos da madeira para a
Ufes. Com foco em estudo de madeira.",Tecnologia das construções,Madeira/ sustentabilidade/ materiais/ projeto/ centro de  (núcleo de)/ ensino e pesquisa,UFES Goiabeiras
"Requalificação urbana do
bairro itacibá.",2001,"Muniz, Luciana Borges","Vargas, Paulo","Abe, André","Requalificação urbana do
bairro itacibá",Projeto de urbanismo,Projeto/ urbanismo/ requalificação,Itacibá
A ilha e o monstro.,2004,"Murari, Rosana de Souza.","Simões, Roberto Garcia.",,Teoria urbanistica e analise de projetos para a ilha do principe ,Projeto de urbanismo,Análise/ ensaio projetual/ urbanismo,Ilha do príncipe
"Guia da arquitetura
moderna Capixaba",2000,"Murta, Luciana Mello","Miranda, Clara",,Estudo da arquitetura moderna capixaba,História e Teoria da Arquitetura e Urbanismo,Análise/ arquitetura moderna/ guia,Espírito Santo
Hotel urbano em Jardim Camburi Vitória/ES,2013,"Muzzi, Juliana Rogerio"," Bahia, Tarcísio ","Bitencourt, Carla ","Hotel urbano com foco em tecnologias construtivas (laje protendida, acm e drywall)",Projeto de arquitetura,Projeto/ hotel/ materiais/ tecnologia/ construção,Jardim Camburi
Para sentir-se numa ilha,2005,"Nadai, Débora Gomes de.","Abe, André Tomoyuki","Almenara,
Rogério.",Intevenções arquitetônicas e urbanisticas no perímetro da ilha de vítória,Projeto de urbanismo,Ensaio/ intervenções pontuais/ orla,Vitória
"Paço Municipal de Vila
Velha: uma nova proposta
de obra pública",2003,"Nalli, Gizeli Zanetti","Marroquim, Ione",,"Paço Municipal de Vila
Velha: uma nova proposta
de obra pública. Espaço publico para abrigar os 3 poderes",Projeto de arquitetura,Projeto/ Paço municipal/ espaço,Centro de Vila Velha
"Transferência de potencial
construtivo: um estudo de
viabilidade em Itapoã",2014,"Nascimento, Gabriel
Poltronieri do","Romanelli,
Marco Antônio Cypestre","Alvarenga,
Augusto",Proposta de ocupação de vazio urbano a partir de demonstração de utilização de ferramenta urbanistica no PDM de Vila Velha. Transferenica de potencial construtivo,Informática aplicada a arquitetura,Ferramenta/ urbanismo/ ocupação/ espaço/ pdu,Itapuã
"Moradia estudantil : um
ensaio projetual sobre
habitação estudantil no
Campus de Maruípe",2016,"Nascimento, Gustavo
Donadia","Romanelli,
Marco Antônio C",,Habitação estudantil no campos de maruípe,Projeto de arquitetura,Projeto/ Habitação estudantil, UFES Maruípe
"Edifício residencial
multifamiliar",2014,"Nascimento, Lohana
Martins do.","Alexandre,
Adriano Stelzer","Alvarenga, Augusto","Edificio residencial multifamiliar na praia do canto. Avanço tecnico, construtivo, bioclimático e sustentaveis",Projeto de arquitetura,Projeto/ Edifício/ residência/ bioclimático/ sustentabilidade/ materiais,Praia do Canto
"Um cemei para São
Francisco.",2017,"Nascimento, Pâmela
Ferreira","Romanelli, Marco
Antonio Cypreste","Santos, Maria
Madalena dos.",Centro municipal de educação infantil. São Francisco Cariacica,Projeto de arquitetura,Projeto/ creche/ escola,São Francisco
"Arquitetura e cinema: O
espelho de muitas faces",2018,"Nascimento, Raysa Côgo
do","Frizzera, Kleber Perini","Alvarenga, Alexandre
Curtiss,",Cinema e representação arquitetônica,História e Teoria da Arquitetura e Urbanismo,Análise/ cinema/ arquitetura,n/d
"O corpo em movimento na
cidade: apropriação e
ressignificação do espaço
urbano na prática do skate
em vitória/ES.",2019,"Nascimento, Vitor de
Toledo","Miranda , Clara
Luiza",,analise de espaços para a prática de skate,História e Teoria da Arquitetura e Urbanismo,Análise/ espaço/ urbano/ Skate,Vitória
"Supermercado São José de
Carapina : proposta de
requalificação.",2017,"Neffa, Alice Fornazier
Murad.","Ribeiro, Rogério
Almenara.",,Requalificação do sueprmercado são jose de carapina,Projeto de arquitetura,Projeto/ reforma/ requalificação/ supermercado,Carapina
"Vazios urbanos :
Percepção e exposição no
Centro Histórico de Vitória",2010,"Negreiros, Lícia Rodrigues",,,Analise da teoria de vazios urbanos com propostas no centro de vitória,História e Teoria da Arquitetura e Urbanismo,Análise/ espaço/ urbano/ Centro,Centro de Vitória
"Integração e equidade :
recomendações para a
mobilidade urbana na
Grande Vitória",2014,"Negreiros, Pedro Henrique
Alves","Esteves Junior,
Milton,",,"analise e proposta de mobiliadde urbana de vitoria
",Projeto de urbanismo,análise/ Projeto/ mobilidade/ urbanismo,Vitória
"Centro de treinamento
esportivo Mestre Álvaro.",2012,"Nepomuceno, Daniela Valt","Vargas, Paulo Sérgio.",,Projeto de centro de treinamento esportivo no civit,Projeto de arquitetura,Projeto/ Centro de (núcleo de)/ treinamento/ esporte,CIVIT II
"Lugar da memória e espaço
da construção do lugar
Itueta/MG: uma cidade e
duas partes",2009,"Neves, Antônio Júnior","Almeida , Renata Hermanny
de",,analise histórica de itueta com proposta de centro de memoria,Projeto de arquitetura,Análise/ projeto/ centro de (núcleo de)/ cultura/ História,Itueta
"Crianças da ilha : centro de
reabilitação para crianças e
adolescentes carentes.",2005,"Neves, Rynara Oliveira","Vargas, Paulo Sérgio de
Paula",,projeto de um local para capacitar e educar criancas e adolescentes em situação de rua. Mario Cypreste,Projeto de arquitetura,Projeto/ centro de  (núcleo de)/ reabilitação/ criança,Mário Cypreste
"A catedral gótica: gênese,
significações e as três
catedrais clássicas:
Chartres, reims e amiens",2013,"Neves, Tainah Moreira","Ribeiro, Nelson Pôrto","Miranda, Clara Luiza",analise e estudo das catedrais góticas,História e Teoria da Arquitetura e Urbanismo,Análise/ Catedral/ História/ Gótico/ Igreja,n/d
"""Convento da Penha"" : uma
história, uma arquitetura,
um patrimônio.",2005,"Nicchio, Loraine Zanotelli","Pôrto, Nelson",,"Analise histórica e arquitetonica do convento da penha
",História e Teoria da Arquitetura e Urbanismo,Análise/ História/ Igreja/ convento ,Prainha (Convento da Penha)
"Creche Tia Loura:
Reformulação de espaço
existente para adequação
às atuais e novas
atividades",2007,"Nicoli, Anelisse Moll","Abe,
André Tomoyuki",,estudo preliminar para creche tia loura (ong) em morada da barra,Projeto de arquitetura,Projeto/ creche/ escola,Morada da Barra
"Apa de Goiapaba - Açu:
uma pousada em harmonia
com o meio ambiente",2009,"Nishida, Adriana Hiromi","Alvarez, Cristina Engel de",,Projeto de pousada para area de proteção ambiental em goiapabaaçu entre os municipios de fundão e santa teresa. Sustentabilidade,Projeto de arquitetura,Projeto/ pousada/ hotel/ sustentabilidade,Goiapaba-açu
"O novo no antigo e o antigo
no novo: estudo sobre a
intervenção em museus no
contexto urbano da
globalização",2008,"Nitz, Marcela Luchi Krause","Almeida, Renata Hermanny
de",,analisar solulçoes encontradas na intervenção em edificios patrimoniais consolidados,História e Teoria da Arquitetura e Urbanismo,Análise/ intervenção/ museu/ patrimônio,n/d
"A cultura e o espetáculo na
cidade",2007,"Nofal, Vanessa Pontes","Junior, Milton Esteves",,analise critica e historica da cidade de vitoria,História e Teoria da Arquitetura e Urbanismo,Análise/ História/ Vitória,Vitória
